iter	Logloss
0	0.605352255
1	0.5151998569
2	0.4430091075
3	0.3819197386
4	0.3344212312
5	0.2802262184
6	0.2403785754
7	0.2116039227
8	0.1849298722
9	0.165245154
10	0.1466288567
11	0.1289129013
12	0.1151086489
13	0.1033463356
14	0.09403009904
15	0.0836090797
16	0.07537715863
17	0.06777813496
18	0.0617466462
19	0.05525847582
20	0.04929405604
21	0.04505536495
22	0.04049281279
23	0.03751571668
24	0.03450053777
25	0.03224316621
26	0.03014407708
27	0.02903548876
28	0.02714854632
29	0.0249273074
30	0.02321710036
31	0.02162241324
32	0.02024334516
33	0.01922495243
34	0.01801032439
35	0.016967561
36	0.01614106313
37	0.01546930503
38	0.01478429177
39	0.01383838592
40	0.01319978482
41	0.0124842173
42	0.01203117462
43	0.01138062661
44	0.01094820866
45	0.01055797476
46	0.01008838109
47	0.009747693172
48	0.009326429703
49	0.008970378301
50	0.008747285757
51	0.008392216303
52	0.008158854949
53	0.007935820482
54	0.007578504391
55	0.007387162783
56	0.00719645543
57	0.006980743928
58	0.006756895628
59	0.006559723463
60	0.006330529849
61	0.006136997388
62	0.005999018367
63	0.005803054342
64	0.005666452723
65	0.005534596168
66	0.00542220779
67	0.005276817542
68	0.005148954498
69	0.005015029739
70	0.00491158626
71	0.004815871135
72	0.004721318682
73	0.00461923694
74	0.004482968113
75	0.004367242257
76	0.004261939571
77	0.004133031536
78	0.004026586429
79	0.003927434484
80	0.003839835907
81	0.003731296231
82	0.003666672951
83	0.003587237917
84	0.003492536071
85	0.003416997882
86	0.003351430098
87	0.003290386918
88	0.00321351221
89	0.003152093444
90	0.003100149907
91	0.003049454246
92	0.003000063774
93	0.002953027685
94	0.002918173869
95	0.002877004636
96	0.002839515416
97	0.00279027663
98	0.002753073588
99	0.002725449319
100	0.002682573902
101	0.002632527015
102	0.002599235529
103	0.002565235282
104	0.00253464549
105	0.002499518104
106	0.002446361077
107	0.002418152797
108	0.002391478763
109	0.002352985625
110	0.002320456963
111	0.002283070714
112	0.002259097229
113	0.002233701448
114	0.002204027696
115	0.002180921153
116	0.002164036036
117	0.00214312856
118	0.002100791878
119	0.002065802805
120	0.002031826056
121	0.00200394904
122	0.001984144442
123	0.001969483227
124	0.001941731343
125	0.001920863604
126	0.001901703385
127	0.001881683102
128	0.001863082632
129	0.001831617111
130	0.00181918725
131	0.001793848398
