iter	Passed	Remaining
406	5690	22270
407	5706	22264
408	5722	22259
409	5737	22249
410	5752	22241
411	5768	22232
412	5783	22223
413	5797	22208
414	5810	22192
415	5826	22184
416	5842	22179
417	5857	22167
418	5870	22152
419	5885	22139
420	5898	22124
421	5912	22110
422	5927	22099
423	5942	22087
424	5953	22064
425	5967	22048
426	5981	22033
427	5994	22017
428	6009	22005
429	6023	21994
430	6036	21975
431	6049	21956
432	6062	21939
433	6076	21924
434	6091	21913
435	6104	21896
436	6115	21871
437	6128	21856
438	6144	21846
439	6158	21835
440	6171	21818
441	6186	21806
442	6200	21792
443	6213	21776
444	6226	21757
445	6241	21747
446	6254	21729
447	6268	21715
448	6284	21708
449	6297	21691
450	6308	21668
451	6321	21649
452	6336	21639
453	6351	21628
454	6364	21611
455	6376	21591
456	6388	21571
457	6402	21556
458	6416	21542
459	6431	21531
460	6445	21517
461	6459	21502
462	6470	21480
463	6483	21462
464	6497	21448
465	6509	21429
466	6521	21408
467	6534	21391
468	6548	21377
469	6562	21362
470	6573	21339
471	6586	21321
472	6598	21301
473	6612	21286
474	6625	21272
475	6637	21250
476	6650	21232
477	6663	21216
478	6676	21201
479	6692	21191
480	6709	21189
481	6724	21178
482	6737	21159
483	6748	21139
484	6763	21128
485	6777	21113
486	6789	21093
487	6803	21080
488	6820	21074
489	6834	21062
490	6849	21050
491	6864	21040
492	6879	21029
493	6894	21017
494	6909	21006
495	6925	20999
496	6941	20991
497	6953	20972
498	6968	20962
499	6984	20952
500	6999	20943
501	7015	20934
502	7029	20920
503	7044	20910
504	7060	20902
505	7077	20895
506	7094	20892
507	7108	20877
508	7121	20861
509	7135	20848
510	7151	20839
511	7167	20831
512	7180	20812
513	7195	20801
514	7209	20789
515	7224	20778
516	7237	20761
517	7252	20750
518	7265	20732
519	7280	20721
520	7293	20704
521	7307	20691
522	7322	20678
523	7334	20660
524	7349	20647
525	7364	20636
526	7379	20626
527	7394	20614
528	7407	20599
529	7421	20582
530	7434	20567
531	7450	20559
532	7464	20543
533	7476	20525
534	7490	20510
535	7502	20492
536	7516	20478
537	7529	20461
538	7541	20442
539	7555	20427
540	7566	20406
541	7580	20390
542	7592	20372
543	7608	20363
544	7623	20353
545	7638	20340
546	7651	20325
547	7665	20309
548	7677	20292
549	7688	20270
550	7701	20252
551	7713	20234
552	7728	20223
553	7743	20210
554	7755	20191
555	7766	20170
556	7778	20150
557	7790	20132
558	7803	20116
559	7818	20104
560	7832	20092
561	7847	20080
562	7864	20072
563	7879	20062
564	7892	20046
565	7906	20031
566	7920	20018
567	7935	20006
568	7950	19994
569	7965	19984
570	7979	19970
571	7994	19957
572	8009	19945
573	8024	19934
574	8036	19916
575	8051	19905
576	8066	19892
577	8079	19878
578	8094	19865
579	8110	19856
580	8124	19843
581	8139	19832
582	8154	19818
583	8168	19806
584	8182	19792
585	8196	19779
586	8214	19772
587	8232	19768
588	8246	19756
589	8261	19742
590	8275	19730
591	8289	19716
592	8303	19700
593	8318	19688
594	8332	19676
595	8347	19664
596	8361	19649
597	8375	19635
598	8391	19625
599	8405	19613
600	8418	19596
601	8432	19582
602	8446	19567
603	8459	19552
604	8471	19534
605	8486	19522
606	8502	19513
607	8518	19502
608	8533	19492
609	8548	19478
610	8563	19468
611	8576	19451
612	8591	19439
613	8603	19421
614	8617	19405
615	8632	19396
616	8645	19379
617	8659	19365
618	8674	19352
619	8687	19336
620	8698	19316
621	8713	19303
622	8727	19290
623	8743	19279
624	8755	19261
625	8775	19262
626	8808	19288
627	8834	19299
628	8857	19306
629	8883	19319
630	8899	19308
631	8921	19310
632	8935	19296
633	8947	19278
634	8960	19260
635	8974	19246
636	8987	19230
637	9000	19214
638	9014	19199
639	9027	19182
640	9040	19167
641	9053	19150
642	9067	19136
643	9082	19123
644	9097	19111
645	9112	19099
646	9126	19085
647	9139	19069
648	9154	19056
649	9168	19041
650	9182	19028
651	9197	19015
652	9213	19004
653	9227	18991
654	9241	18976
655	9255	18962
656	9265	18940
657	9279	18925
658	9293	18910
659	9308	18898
660	9323	18887
661	9339	18877
662	9353	18862
663	9368	18850
664	9381	18833
665	9396	18821
666	9411	18809
667	9426	18796
668	9442	18787
669	9458	18775
670	9471	18759
671	9486	18746
672	9501	18734
673	9517	18724
674	9531	18709
675	9545	18695
676	9558	18678
677	9570	18661
678	9584	18647
679	9598	18632
680	9612	18617
681	9625	18601
682	9637	18582
683	9649	18565
684	9661	18546
685	9674	18531
686	9687	18515
687	9701	18501
688	9715	18486
689	9730	18473
690	9741	18454
691	9756	18441
692	9769	18424
693	9782	18410
694	9793	18390
695	9807	18374
696	9821	18360
697	9834	18343
698	9847	18328
699	9860	18312
700	9872	18294
701	9885	18278
702	9897	18260
703	9910	18243
704	9922	18226
705	9935	18210
706	9948	18193
707	9961	18177
708	9975	18163
709	9988	18148
710	10001	18132
711	10015	18118
712	10030	18104
713	10043	18089
714	10056	18073
715	10068	18056
716	10082	18041
717	10095	18025
718	10107	18008
719	10118	17988
720	10130	17971
721	10144	17955
722	10155	17937
723	10169	17922
724	10182	17907
725	10195	17890
726	10208	17875
727	10221	17859
728	10235	17844
729	10248	17830
730	10262	17815
731	10278	17805
732	10292	17791
733	10305	17775
734	10318	17759
735	10332	17744
736	10345	17729
737	10358	17714
738	10373	17701
739	10388	17687
740	10403	17675
741	10417	17661
742	10430	17646
743	10445	17633
744	10459	17619
745	10473	17604
746	10487	17591
747	10500	17575
748	10515	17562
749	10529	17548
750	10542	17532
751	10556	17518
752	10569	17503
753	10583	17489
754	10597	17475
755	10611	17461
756	10625	17446
757	10639	17433
758	10653	17419
759	10667	17405
760	10679	17388
761	10694	17375
762	10708	17360
763	10720	17343
764	10734	17328
765	10748	17314
766	10761	17299
767	10775	17286
768	10788	17270
769	10805	17260
770	10818	17244
771	10835	17235
772	10849	17221
773	10863	17207
774	10877	17193
775	10891	17179
776	10906	17166
777	10920	17151
778	10933	17136
779	10945	17120
780	10957	17102
781	10969	17085
782	10982	17069
783	10997	17056
784	11010	17041
785	11025	17028
786	11039	17014
787	11053	17001
