elapsed_ms,exg,label
7335,33025,rest
7355,32336,rest
7375,33171,rest
7395,33025,rest
7415,33435,rest
7435,33318,rest
7455,33127,rest
7475,33684,rest
7495,34110,rest
7515,34593,rest
7535,35575,rest
7555,34842,rest
7575,34417,rest
7595,34842,rest
7615,35531,rest
7635,34916,rest
7655,35501,rest
7675,35077,rest
7695,34549,rest
7715,35077,rest
7735,35780,rest
7755,34696,rest
7775,33831,rest
7795,33464,rest
7815,34432,rest
7835,33626,rest
7855,33788,rest
7878,34212,rest
7899,37817,rest
7919,38066,rest
7939,36996,rest
7959,35926,rest
7979,34652,rest
7999,33949,rest
8019,33318,rest
8039,32952,rest
8059,31077,rest
8079,29508,rest
8099,29669,rest
8119,30593,rest
8139,31077,rest
8161,31501,rest
8223,31091,rest
8244,31531,rest
8265,28585,rest
8285,29420,rest
8305,27985,rest
8325,28776,rest
8345,29391,rest
8365,28629,rest
8385,28322,rest
8405,29303,rest
8425,28644,rest
8445,28424,rest
8465,28205,rest
8485,28673,rest
8505,28527,rest
8525,29142,rest
8545,29040,rest
8565,27941,rest
8585,27868,rest
8605,28131,rest
8625,28498,rest
8645,27575,rest
8665,27589,rest
8685,27794,rest
8705,27809,rest
8725,27780,rest
8745,27282,rest
8765,27340,rest
8785,27604,rest
8805,27384,rest
8825,27238,rest
8845,26652,rest
8865,27208,rest
8885,30081,rest
8905,32366,rest
8925,33245,rest
8945,32336,rest
8965,31824,rest
8985,30461,rest
9005,30461,rest
9025,28600,rest
9045,29362,rest
9065,28600,rest
9085,29435,rest
9105,28102,rest
9125,28014,rest
9145,28776,rest
9165,27340,rest
9185,27633,rest
9208,27926,rest
9229,25435,rest
9249,24483,rest
9269,22886,rest
9289,27370,rest
9309,25962,rest
9329,27985,rest
9349,27179,rest
9369,29127,rest
9389,27077,rest
9409,27267,rest
9429,27179,rest
9449,29025,rest
9469,28922,rest
9489,29831,rest
9509,29508,rest
9529,30359,rest
9549,31003,rest
9569,32131,rest
9589,32732,rest
9609,32820,rest
9629,33596,rest
9649,33362,rest
9669,32834,rest
9689,34476,rest
9709,33713,rest
9729,34974,rest
9749,34168,rest
9769,36512,rest
9789,35296,rest
9809,37524,rest
9829,38183,rest
9849,38271,rest
9869,38593,rest
9889,38154,rest
9909,38696,rest
9929,38212,rest
9949,37230,rest
9969,37890,rest
9989,37040,rest
10009,38271,rest
10029,36468,rest
10049,35443,rest
10069,36000,rest
10089,35047,rest
10109,33949,rest
10129,32512,rest
10149,30989,rest
10169,29596,rest
10189,29186,rest
10209,27794,rest
10229,27692,rest
10249,26666,rest
10269,26696,rest
10289,24732,rest
10309,24205,rest
10329,24029,rest
10349,23340,rest
10369,23165,rest
10389,22211,rest
10409,21347,rest
10429,20454,rest
10449,20688,rest
10505,20219,rest
10526,20278,rest
10546,20029,rest
10566,20219,rest
10586,21215,rest
10606,21259,rest
10626,21699,rest
10646,21303,rest
10666,20966,rest
10686,21757,rest
10706,21318,rest
10726,21992,rest
10746,22285,rest
10766,22446,rest
10786,22784,rest
10806,24981,rest
10826,22930,rest
10846,23926,rest
10866,23458,rest
10886,23384,rest
10906,23355,rest
10926,24820,rest
10946,24336,rest
10966,26006,rest
10986,25259,rest
11006,25567,rest
11026,25552,rest
11046,25376,rest
11066,25274,rest
11086,25772,rest
11106,26388,rest
11126,26271,rest
11146,26696,rest
11166,26491,rest
11186,26696,rest
11206,27106,rest
11226,28058,rest
11246,27501,rest
11266,27457,rest
11286,28424,rest
11306,27970,rest
11326,27838,rest
11346,27633,rest
11366,28585,rest
11386,28366,rest
11406,28336,rest
11426,28087,rest
11446,28249,rest
11466,28820,rest
11486,28893,rest
11506,28439,rest
11526,29523,rest
11546,28190,rest
11566,29259,rest
11586,29098,rest
11606,29201,rest
11626,28893,rest
11646,30271,rest
11666,30417,rest
11686,30828,rest
11709,30520,rest
11730,30256,rest
11751,29450,rest
11771,32600,rest
11791,29084,rest
11811,30593,rest
11831,30330,rest
11851,30051,rest
11871,30740,rest
11891,30066,rest
11911,31531,rest
11931,30652,rest
11951,30549,rest
11971,31648,rest
11991,32014,rest
12011,31736,rest
12031,31252,rest
12051,32527,rest
12071,31326,rest
12091,32454,rest
12111,34154,rest
12131,31047,rest
12151,33098,rest
12171,31091,rest
12191,31414,rest
12211,30608,rest
12231,30725,rest
12254,31736,rest
12312,31985,rest
12333,33684,rest
12353,31853,rest
12373,32468,rest
12393,31589,rest
12413,32117,rest
12433,31487,rest
12453,32117,rest
12473,31238,rest
12493,32087,rest
12513,31897,rest
12533,32117,rest
12553,31853,rest
12573,31531,rest
12593,31882,rest
12613,31692,rest
12633,31853,rest
12653,32278,rest
12673,32600,rest
12693,32849,rest
12713,32556,rest
12733,31619,rest
12753,31443,rest
12773,31194,rest
12793,31545,rest
12813,31501,rest
12833,31707,rest
12853,31443,rest
12873,32292,rest
12893,33303,rest
12913,31794,rest
12933,31472,rest
12956,31926,rest
12977,31794,rest
12997,31326,rest
13017,30520,rest
13037,32131,rest
13057,31399,rest
13077,32791,rest
13097,32000,rest
13117,31252,rest
13137,32512,rest
13157,30315,rest
13177,31707,rest
13197,30564,rest
13217,31941,rest
13237,30256,rest
13257,31326,rest
13277,31428,rest
13297,30725,rest
13317,31370,rest
13337,31296,rest
13357,31692,rest
13377,30784,rest
13397,30916,rest
13417,30681,rest
13437,30740,rest
13457,31326,rest
13477,31252,rest
13497,30168,rest
13517,30710,rest
13537,31194,rest
13557,31106,rest
13577,30432,rest
13597,30286,rest
13617,31194,rest
13637,29889,rest
13657,30359,rest
13677,30403,rest
13697,30256,rest
13717,30828,rest
13737,33802,rest
13757,32410,rest
13778,32542,rest
13798,32512,rest
13818,31457,rest
13838,31487,rest
13858,29933,rest
13878,30872,rest
13898,31121,rest
13918,31047,rest
13938,31311,rest
13958,30916,rest
13978,30037,rest
13998,30593,rest
14018,29875,rest
14038,30300,rest
14058,30330,rest
14078,31238,rest
14098,31736,rest
14118,30344,rest
14138,30754,rest
14161,30681,rest
14182,29464,rest
14202,29757,rest
14222,29772,rest
14242,30198,rest
14262,29552,rest
14282,31018,rest
14302,29875,rest
14322,29567,rest
14342,29743,rest
14362,30095,rest
14382,29523,rest
14402,29860,rest
14422,29376,rest
14442,29713,rest
14462,33025,rest
14482,29918,rest
14502,29669,rest
14522,29713,rest
14542,29230,rest
14562,29171,rest
14582,29757,rest
14602,30168,rest
14622,30081,rest
14642,31077,rest
14662,29450,rest
14682,29494,rest
14702,29713,rest
14722,29420,rest
14742,29699,rest
14762,29098,rest
14782,29684,rest
14802,31326,rest
14822,28908,rest
14842,29684,rest
14862,29186,rest
14882,29435,rest
14902,29626,rest
14922,29362,rest
14942,30095,rest
14962,29816,rest
14982,30403,rest
15002,30095,rest
15022,30681,rest
15042,31794,rest
15062,30798,rest
15082,31179,rest
15102,31296,rest
15122,31765,rest
15142,32703,rest
15162,31677,rest
15182,30315,rest
15202,30740,rest
15222,30652,rest
15242,31531,rest
15262,31121,rest
15282,30974,rest
15302,30842,rest
15322,30872,rest
15342,31062,rest
15398,33054,rest
15419,34212,rest
15439,34271,rest
15459,33949,rest
15479,33684,rest
15499,33669,rest
15519,32952,rest
15539,32542,rest
15559,31296,rest
15579,31340,rest
15599,30901,rest
15619,31208,rest
15639,31106,rest
15659,30637,rest
15679,30535,rest
15699,30608,rest
15719,30989,rest
15739,30769,rest
15759,29889,rest
15779,30549,rest
15799,30198,rest
15819,30300,rest
15839,29816,rest
15859,29933,rest
15879,30256,rest
15899,30271,rest
15919,29904,rest
15939,29787,rest
15959,29552,rest
15979,30168,rest
15999,29376,rest
16019,28761,rest
16039,28556,rest
16059,29347,rest
16079,28849,rest
16099,29611,rest
16119,30154,rest
16139,30095,rest
16159,30491,rest
16179,30828,rest
16199,30505,rest
16219,30491,rest
16239,29230,rest
16259,29245,rest
16279,28527,rest
16299,28688,rest
16319,29333,rest
16343,29435,rest
16399,31399,rest
16420,30227,rest
16441,28542,rest
16461,29347,rest
16481,29552,rest
16501,28307,rest
16521,25699,rest
16541,23399,rest
16561,23560,rest
16581,24249,rest
16601,25303,rest
16621,26901,rest
16644,28029,rest
16665,30198,rest
16685,29772,rest
16705,29142,rest
16725,30022,rest
16745,29201,rest
16765,30007,rest
16785,30066,rest
16805,29274,rest
16825,29347,rest
16845,29640,blink
16865,29435,blink
16885,28966,blink
16905,27809,blink
16925,23604,blink
16945,15355,blink
16966,14739,blink
16987,19941,blink
17008,27824,blink
17028,31355,blink
17048,33420,blink
17068,34286,rest
17089,34696,rest
17109,34403,rest
17129,34286,rest
17149,33391,rest
17169,33362,rest
17189,32000,rest
17209,32571,rest
17229,31794,rest
17249,31780,rest
17269,31472,rest
17289,30491,rest
17309,30139,rest
17329,30081,rest
17349,30491,rest
17369,30857,rest
17389,29860,rest
17409,29376,rest
17429,29069,rest
17449,29611,rest
17469,29289,rest
17489,29347,rest
17509,29640,rest
17529,29640,rest
17549,29171,rest
17569,28922,rest
17589,29508,rest
17609,30608,rest
17629,30681,rest
17649,28996,rest
17669,27428,blink
17689,26006,blink
17709,13596,blink
17729,7442,blink
17749,10021,blink
17769,17435,blink
17789,26006,blink
17810,32556,blink
17831,35516,blink
17851,36996,blink
17874,37157,blink
17895,36600,rest
17915,36454,rest
17935,35179,rest
17955,35121,rest
17975,33713,rest
17995,33582,rest
18015,32161,rest
18035,32380,rest
18055,31428,rest
18075,31531,rest
18095,30974,rest
18115,30769,rest
18135,29259,rest
18155,28688,rest
18175,26769,rest
18195,27809,rest
18215,28483,rest
18235,29523,rest
18255,29303,rest
18275,29230,rest
18295,29318,rest
18315,32849,rest
18335,30037,rest
18355,29376,rest
18375,32380,rest
18395,29743,rest
18415,29669,rest
18435,29772,rest
18455,29582,rest
18475,30037,rest
18495,30124,rest
18515,30740,rest
18535,30945,rest
18555,31399,rest
18575,31824,rest
18595,32161,rest
18615,32087,rest
18635,32395,rest
18655,32922,rest
18675,32644,rest
18695,32937,rest
18715,32542,rest
18735,33611,rest
18755,33582,rest
18775,33318,rest
18795,33626,rest
18821,34432,rest
18841,34666,rest
18861,34403,rest
18881,34110,rest
18901,34666,rest
18921,34491,rest
18941,34417,rest
18961,34579,rest
18981,34637,blink
19001,34388,blink
19021,32380,blink
19041,31853,blink
19061,21889,blink
19084,16263,blink
19105,23091,blink
19126,31018,blink
19147,34886,blink
19167,37744,blink
19187,38696,blink
19207,41025,rest
19227,37846,rest
19247,36468,rest
19267,35003,rest
19287,34505,rest
19307,34286,rest
19327,33333,rest
19347,32893,rest
19367,32322,rest
19387,32322,rest
19407,31809,rest
19427,31575,rest
19447,31531,rest
19467,30974,rest
19487,30491,rest
19507,29904,rest
19527,30168,rest
19547,29831,rest
19567,29567,rest
19587,30066,rest
19607,28732,rest
19627,29508,rest
19647,28498,rest
19667,28981,rest
19687,28205,rest
19707,29391,rest
19727,28776,rest
19747,28922,rest
19767,28307,rest
19787,28483,rest
19807,27648,rest
19827,27926,rest
19847,26857,blink
19867,24146,blink
19887,13582,blink
19907,10036,blink
19927,17230,blink
19947,25479,blink
19967,29831,blink
19988,32439,blink
20009,33318,blink
20029,33611,blink
20049,32585,blink
20069,32966,rest
20089,31545,rest
20109,31370,rest
20129,30447,rest
20149,32014,rest
20169,29860,rest
20189,30652,rest
20209,29494,rest
20229,29596,rest
20249,28981,rest
20269,29420,rest
20325,29626,rest
20346,29157,rest
20366,29230,rest
20386,29113,rest
20406,29669,rest
20426,29640,rest
20448,29289,rest
20502,28996,rest
20523,28952,rest
20543,28864,rest
20563,28908,rest
20583,29523,rest
20603,29113,rest
20623,29464,rest
20643,29626,rest
20663,29333,rest
20683,29215,rest
20703,28776,rest
20723,29464,rest
20743,28966,rest
20763,29259,rest
20783,29713,rest
20803,29245,rest
20823,29582,rest
20843,29245,rest
20863,29259,rest
20883,29347,rest
20903,29098,rest
20923,29230,rest
20943,28952,rest
20963,31472,rest
20983,28512,rest
21003,28000,rest
21023,28629,rest
21043,28673,rest
21063,28219,rest
21083,29171,rest
21103,28893,rest
21123,28776,rest
21143,28732,rest
21163,28791,rest
21183,29289,rest
21203,29069,rest
21223,29025,rest
21243,29420,blink
21263,29201,blink
21283,26417,blink
21303,19370,blink
21323,14490,blink
21343,16395,blink
21364,23077,blink
21385,29611,blink
21406,32996,blink
21426,33934,blink
21446,34417,blink
21466,34608,rest
21486,34139,rest
21506,34461,rest
21526,32542,rest
21549,32087,rest
21570,31487,rest
21591,31765,rest
21611,32571,rest
21631,33464,rest
21651,32424,rest
21671,32263,rest
21691,31077,rest
21711,30374,rest
21731,31003,rest
21751,30359,rest
21771,29860,rest
21791,30037,rest
21811,30051,rest
21831,29918,rest
21851,29420,rest
21871,29889,rest
21891,29450,rest
21911,29420,rest
21931,29655,rest
21951,29303,rest
21971,29215,rest
21991,29508,rest
22011,29171,rest
22031,28322,rest
22051,26065,rest
22071,14138,blink
22091,9318,blink
22111,13831,blink
22131,18607,blink
22151,27663,blink
22171,31970,blink
22192,33788,blink
22213,35736,blink
22234,35003,blink
22254,36234,blink
22274,34842,blink
22294,34916,rest
22314,34637,rest
22334,33376,rest
22354,32703,rest
22374,32659,rest
22394,32043,rest
22414,30315,rest
22434,29362,rest
22454,27384,rest
22474,28073,rest
22494,29596,rest
