elapsed_ms,exg,label
41323,28585,blink
41343,28600,blink
41363,27985,blink
41383,26813,blink
41403,22637,blink
41423,10534,blink
41443,8791,blink
41466,17259,blink
41487,26491,blink
41508,31311,blink
41528,33963,blink
41549,34330,blink
41570,34242,blink
41591,34300,blink
41611,34520,blink
41631,33934,blink
41651,34154,blink
41671,33040,blink
41691,32483,blink
41711,32542,blink
41731,32117,blink
41751,31780,blink
41771,31238,blink
41791,31208,blink
41811,30828,blink
41831,31208,blink
41851,31663,blink
41871,30754,blink
41891,30403,blink
41911,30696,blink
41931,29875,blink
41951,30271,blink
41971,28820,blink
41991,27721,blink
42011,19604,blink
42031,7956,blink
42051,8043,blink
42071,15282,blink
42091,24102,blink
42111,31604,blink
42132,36102,blink
42153,36717,blink
42174,36336,blink
42194,36732,blink
42214,35985,blink
42234,35414,blink
42254,35062,blink
42274,33788,blink
42294,33743,blink
42314,32688,blink
42334,32424,blink
42354,32190,blink
42374,31501,blink
42394,31223,blink
42414,31091,blink
42434,31003,blink
42454,30476,blink
42474,30300,blink
42495,30344,blink
42515,29406,blink
42535,30066,blink
42555,29948,blink
42575,29816,blink
42595,29494,blink
42615,29801,blink
42635,30066,blink
42655,30974,blink
42675,30095,blink
42698,29626,blink
42719,29303,blink
42739,30916,rest
42759,28688,rest
42779,28615,rest
42799,27633,rest
42819,27794,rest
42839,28952,rest
42859,28966,rest
42879,29098,rest
42899,28761,rest
42919,28351,rest
42939,28820,rest
42959,28791,rest
42979,29098,rest
42999,28717,rest
43019,29611,rest
43039,28673,rest
43059,29245,rest
43079,29303,rest
43099,29333,rest
43119,29186,rest
43139,29464,rest
43159,29303,rest
43179,29010,rest
43199,29259,rest
43219,29538,rest
43239,29201,rest
43259,29757,rest
43279,28952,rest
43299,29303,rest
43319,28981,rest
43339,30286,rest
43359,29772,rest
43379,29757,rest
43399,29538,rest
43419,28952,rest
43439,29127,rest
43459,29098,rest
43479,28761,rest
43499,30623,rest
43519,32820,rest
43539,34359,rest
43559,34051,rest
43579,32732,rest
43599,30769,rest
43619,30725,rest
43639,30242,rest
43659,30432,rest
43679,29713,rest
43699,30315,rest
43719,29787,rest
43739,29538,rest
43759,28820,rest
43779,29611,rest
43799,29142,rest
43819,29142,rest
43839,28556,rest
43859,29669,rest
43879,29142,rest
43902,28410,rest
43923,28747,rest
43943,28029,rest
43963,29069,rest
43983,29289,rest
44003,28849,rest
44023,28673,rest
44043,28629,rest
44063,28893,rest
44083,29274,rest
44103,29025,rest
44123,28717,rest
44143,29157,rest
44163,28761,rest
44183,30051,rest
44203,29376,rest
44223,29494,rest
44243,30168,rest
44263,29669,rest
44283,30066,rest
44303,29245,blink
44323,29201,blink
44343,30095,blink
44363,28644,blink
44383,29479,blink
44403,29567,blink
44423,30227,blink
44443,31296,blink
44463,29391,blink
44483,29318,blink
44503,30066,blink
44523,30183,blink
44543,30476,blink
44563,30710,blink
